X,Y,Z,r
15.1947,336.205,-77.3884,4.70433
28.0168,301.963,73.5436,4.70312
-15.0365,565.669,86.9121,4.70256
29.4495,531.755,-64.2208,4.70236
9.05615,87.2427,-53.0148,4.70236
-14.8018,479.217,-84.9661,4.70142
42.5261,347.516,38.7271,4.70126
-26.3505,327.896,73.902,4.70071
16.1454,197.934,-1.00134,4.69912
-29.4718,178.901,31.2405,4.69788
29.1302,173.654,-66.8168,4.69738
43.3054,559.018,62.1556,4.69646
-1.87573,510.524,-93.111,4.69607
-17.4636,125.098,20.8333,4.69603
-15.3868,212.588,-80.4192,4.69473
-43.3442,66.1626,69.2777,4.69377
-26.0685,243.156,-30.5737,4.69256
43.3103,487.135,74.8722,4.69236
49.0029,32.9877,-29.5734,4.69184
-5.22766,401.367,-16.3954,4.69019
10.089,181.244,4.50061,4.68814
40.1786,131.067,46.4038,4.68791
-25.8209,274.547,-85.7456,4.68733
16.2784,424.672,-26.2308,4.68626
14.6931,44.9924,13.3802,4.68527
-8.86377,151.248,-50.844,4.68509
-25.7454,485.789,23.6045,4.68397
-43.425,338.075,54.1827,4.68262
31.4825,565.026,63.89,4.6816
33.5249,365.073,-83.4655,4.68108
1.01782,15.0203,93.4268,4.68077
-14.5536,6.58191,72.6252,4.68072
35.3485,511.226,-67.3842,4.67857
33.7701,154.599,69.1583,4.6784
-17.4266,565.904,-47.2888,4.67823
-12.8834,92.3671,54.8909,4.67803
-43.3448,373.291,-4.85144,4.67684
15.0457,363.223,5.98877,4.6759
8.45715,437.896,-68.7897,4.67504
-43.3412,448.924,76.2579,4.67491
7.75464,137.021,41.1782,4.67419
33.6724,523.686,42.438,4.67221
-35.6777,531.343,59.2178,4.67215
-43.3506,63.0167,44.7917,4.67214
34.3414,510.286,-14.3234,4.67107
-27.4386,6.54028,-93.3856,4.67045
-7.16931,553.911,29.5519,4.67035
34.6915,274.245,77.4796,4.67019
-18.3428,260.797,24.7369,4.66917
25.7732,151.504,-31.6823,4.66914
30.3684,548.535,59.3904,4.66878
-43.3518,499.217,-73.0731,4.66823
7.72839,249.717,-55.7321,4.6677
-43.399,337.737,76.4988,4.66608
2.02185,282.197,-2.13843,4.66542
43.3879,194.566,-65.6372,4.66485
26.4434,403.916,7.27808,4.66484
-2.87781,266.486,-32.4862,4.66403
6.20312,337.219,-45.3348,4.66383
-43.4301,194.07,-81.3972,4.66227
-34.6191,429.69,-3.12085,4.66009
10.9514,63.1962,16.168,4.65967
3.50806,159.785,-61.2126,4.65951
26.5653,492.477,-38.3835,4.65897
-26.6257,486.235,93.3573,4.65799
-7.13599,509.532,-13.5739,4.65794
-22.0063,210.292,93.4291,4.65762
1.50989,455.909,65.0677,4.65762
16.1588,258.918,-27.2328,4.65734
37.4424,132.934,-79.0459,4.65661
49.4948,126.051,10.2883,4.65614
43.3777,420.01,86.7733,4.6561
-38.8878,411.621,13.1942,4.65581
7.75574,501.858,-27.6438,4.65467
8.37134,175.513,-17.2507,4.65354
6.1344,227.824,43.2374,4.65353
-43.3468,554.416,-60.2888,4.65313
23.6163,36.4132,66.604,4.65156
-43.3517,465.011,-18.0625,4.64956
-32.6526,321.011,-72.3578,4.64956
-10.9398,408.897,-7.09546,4.64501
-9.81165,135.904,10.7021,4.64432
15.6394,565.556,2.88184,4.64387
8.14404,543.527,-68.606,4.64385
-43.369,554.284,25.6982,4.64342
-2.76172,6.5553,-22.6997,4.64315
13.8269,153.935,32.9491,4.64205
21.7151,406.155,-93.4497,4.64204
-1.60413,127.8,39.2487,4.64179
4.21924,178.112,-47.3015,4.64125
9.68652,108.944,-78.8381,4.64095
49.2312,78.9038,-55.1185,4.64029
-3.41296,439.535,-11.6542,4.63982
-5.8562,186.587,82.0212,4.6397
-34.326,26.8615,10.9462,4.63889
-13.3663,328.562,-85.0896,4.63805
-34.3586,125.257,-82.4709,4.63587
10.3472,299.619,-10.2269,4.63491
17.615,158.574,47.29,4.63376
35.3405,240.153,58.9229,4.63346
16.3267,158.554,20.3096,4.63243
-36.1053,384.451,-4.42761,4.63169
35.2886,353.764,29.0326,4.63025
24.5305,107.07,56.5337,4.63025
13.2255,518.982,61.8137,4.62943
-31.6813,521.375,22.5717,4.62879
-25.6786,460.954,79.4008,4.62809
17.2284,144.089,-1.61401,4.62771
-35.8629,102.897,59.8458,4.62336
31.8396,106.064,93.5355,4.62331
-43.441,220.518,48.2668,4.6226
0.42749,148.367,-41.6859,4.62146
45.6891,61.0535,-27.2543,4.62
-43.4021,376.73,-51.7932,4.61857
-35.9303,488.132,75.2786,4.61605
33.4949,554.42,47.9011,4.61489
-26.0615,134.004,-75.652,4.61448
-1.57715,470.406,-42.5992,4.61445
-34.6063,346.72,-79.0302,4.61387
10.8394,547.51,67.6196,4.61233
-7.07703,81.0045,-86.2421,4.61163
-22.2972,434.271,-4.75635,4.60951
35.1372,180.848,-0.962524,4.60888
4.71362,546.703,92.4652,4.60808
-3.88196,391.588,29.8331,4.60801
22.7874,422.387,-42.0284,4.60706
-34.0255,188.619,-73.9034,4.60577
-4.75476,506.18,47.433,4.60568
-24.9022,243.311,-93.4296,4.60541
-18.1365,412.237,-28.9727,4.60504
23.6161,16.9061,75.7079,4.60303
-40.3779,452.292,-93.4127,4.59906
22.3137,253.135,-72.3987,4.59892
22.245,78.8638,69.3817,4.59822
29.7434,360.465,-57.6516,4.5969
-24.7781,517.462,-18.4968,4.59644
11.4963,414.728,18.8043,4.59601
24.8148,519.257,-67.7153,4.59562
30.7777,429.546,40.8416,4.59497
32.3789,270.844,52.3109,4.59457
32.2333,294.197,83.4066,4.59369
-10.1039,208.622,-47.4521,4.59318
-42.4624,115.947,-56.58,4.59167
27.4021,450.553,46.3617,4.59113
23.0975,223.851,-67.7802,4.591
29.9929,381.642,-41.6674,4.58965
-6.14368,547.513,-46.7924,4.58882
34.1425,190.347,-74.834,4.58832
-43.4818,35.782,-6.46997,4.5883
-26.0038,280.641,92.4788,4.58805
49.4159,90.0518,48.1565,4.58708
-23.5675,125.763,-7.16821,4.58675
-22.4799,83.4465,52.8839,4.58584
-5.82092,64.9767,93.6055,4.58484
10.2396,200.214,-85.2255,4.5847
31.3457,158.8,2.2417,4.58269
-43.4315,414.352,-41.8979,4.58259
35.3055,248.875,93.4415,4.58166
-38.0291,339.847,13.8,4.57841
8.67444,506.96,64.7449,4.57802
-43.2866,138.966,6.93799,4.57781
36.3719,248.544,68.9166,4.57752
-25.4255,148.405,2.97803,4.57654
49.512,87.0433,2.21448,4.57557
-15.7926,384.5,-35.8113,4.57505
-30.0182,495.435,-43.8152,4.57423
31.723,566.392,-86.5789,4.57355
23.3475,359.147,-23.6431,4.5735
43.4381,508.653,-93.434,4.57215
4.0946,223.295,-93.48,4.57112
15.1328,347.766,-44.6621,4.57047
2.0282,78.2073,-71.9194,4.56989
-9.32153,444.546,93.4497,4.56985
-17.3124,425.834,82.568,4.56978
5.28748,369.252,-65.8309,4.56944
-3.91003,485.229,-60.3636,4.56904
-27.8821,245.581,-5.0874,4.56833
34.7743,378.212,-84.3602,4.56828
-26.8871,564.276,-21.8511,4.56813
33.3831,406.347,-21.8792,4.56795
-43.3887,352.94,1.01562,4.56699
-34.2615,554.86,-29.1779,4.56684
-35.4774,35.2676,21.7568,4.56668
18.412,33.2585,8.63098,4.56659
16.3025,328.503,-66.0823,4.56493
49.476,139.863,28.4473,4.5646
-43.4764,306.929,-49.5724,4.56458
16.7145,56.1937,6.65332,4.56449
-43.536,43.4119,-62.858,4.56401
14.0573,146.412,66.96,4.56347
43.5216,225.697,23.8536,4.5627
-15.6406,259.398,84.0353,4.56172
-43.5156,422.114,19.7094,4.56164
-33.6476,493.225,-93.4742,4.56145
25.7433,111.608,-44.8151,4.56089
-35.4865,115.981,49.9026,4.5605
28.7889,276.886,31.8503,4.55936
-33.0421,534.683,-23.7596,4.55895
-12.3682,512.315,73.8069,4.5588
-39.928,516.322,31.5157,4.55752
-12.207,48.9182,84.5217,4.55603
15.9128,363.156,-57.6783,4.55555
43.4733,275.579,24.4153,4.55415
16.3657,239.482,-37.1775,4.55377
-11.85,16.1169,-22.6847,4.55284
34.2067,285.852,-73.83,4.55264
-28.1417,420.223,65.283,4.55151
22.0817,335.538,75.8689,4.55122
-36.2046,290.15,8.83643,4.55093
15.8502,165.861,71.1285,4.54963
-11.4012,265.459,9.2605,4.54951
0.669556,400.877,-71.4348,4.54949
49.6228,102.497,-31.3134,4.54926
35.4408,246.71,-54.9434,4.5489
-17.798,238.318,-67.312,4.54887
9.85559,6.37427,-87.5441,4.54794
-24.3647,70.4883,51.9122,4.54755
28.4656,463.635,46.6821,4.54708
0.278198,510.866,4.5835,4.54395
-29.0353,199.149,93.5778,4.54358
2.27588,438.907,25.3387,4.5425
41.5105,68.2371,-93.3063,4.54238
43.4802,317.565,-36.6277,4.54237
-25.6863,563.539,-57.3348,4.54203
48.9276,88.3474,83.9967,4.5394
-27.104,111.482,25.9139,4.53889
-32.8174,374.411,-66.067,4.53838
-10.634,373.14,-29.8015,4.53793
-35.1273,245.929,82.7311,4.534
-36.9883,6.38269,76.9758,4.53382
-8.07153,378.664,57.0748,4.53305
34.5626,556.519,-20.5844,4.53211
23.7157,187.221,-0.545288,4.53207
39.8066,32.7985,63.4365,4.53128
5.9198,244.18,27.3607,4.52923
21.2302,6.35791,68.5602,4.52871
-35.3301,286.215,51.7045,4.52852
34.2887,200.416,-93.5295,4.52845
-40.4729,207.839,48.5884,4.52825
-25.3292,290.388,35.483,4.52821
-13.448,274.82,93.5229,4.52811
13.8859,505.029,33.5734,4.52748
7.60254,101.5,93.5128,4.52718
-25.7496,343.781,-60.0466,4.52634
-17.2694,464.363,-6.12268,4.52598
-24.3518,245.086,51.3168,4.52588
-11.6534,290.049,18.3057,4.52565
43.4884,461.281,13.7518,4.52528
27.8141,534.502,68.8647,4.5241
1.8584,396.703,75.7858,4.52211
-35.0765,321.247,-41.6324,4.52111
-43.5591,322.114,-79.5544,4.52051
-27.9719,529.071,43.358,4.51999
-11.4711,254.006,-23.7452,4.51959
-26.6047,142.223,85.9188,4.51916
34.4819,171.338,42.8368,4.51783
49.625,51.0587,-93.5092,4.51753
17.7487,15.511,0.0784912,4.51607
23.5267,358.822,-46.2351,4.51576
5.21606,399.721,36.1025,4.51574
-18.0286,200.511,-53.9567,4.51571
-4.19019,550.958,-68.6976,4.51566
